anno,attoid,cat,mese,metratura,posizione,prezzo,tipo,zonaOMI,garage,cantina
2021,37db8d20-b74f-47e3-a003-d5ba13984799,A03,9,41 mq,"9.19675520559560078996736479271911980205, 45.4981913269720114630961092735619899497",160000,Residenziale singolo,D36,FALSE,FALSE
2021,d0e0b723-cfb3-4e84-94ab-fc8d2b4466bb,A03,10,108 mq,"9.1967991, 45.4985114",350000,Residenziale singolo,D36,FALSE,FALSE
2021,cfdf43c5-4379-40a3-afc5-5bbc5c740e89,A03,10,71 mq,"9.1967499, 45.4983201",247000,Residenziale singolo,D36,FALSE,FALSE
2021,a48b2b9d-8532-42b1-a930-1e58279ac6c2,A03,10,128 mq,"9.19675520559560078996736479271911980205, 45.4981913269720114630961092735619899497",460000,Residenziale singolo,D36,FALSE,FALSE
2021,4de419db-193c-49ae-8ec7-b8771c77c30c,A03,3,5.5 vani,"9.2016769, 45.4948916",80529,Residenziale singolo,D36,FALSE,FALSE
2021,1a1ba2d5-8955-404d-a09f-2fdc0c131ffd,A03,5,52 mq,"9.2035938, 45.496263",257000,Residenziale singolo,D36,FALSE,FALSE
2021,6c07be07-04bc-4e17-b239-aa80afb5e3f8,A03,6,42 mq,"9.20243440380212106880346012699643001146, 45.4954482895762636142587191640125458239",250000,Residenziale singolo,D36,FALSE,FALSE
2021,fc038080-f371-465f-a3eb-db8a6820e163,A03,6,48 mq,"9.202332, 45.4953874",260000,Residenziale singolo,D36,FALSE,['5 mq']
2021,c4a443a7-d5e3-46f5-9d40-93ced01b2f5b,A03,6,47 mq,"9.2035938, 45.496263",255000,Residenziale singolo,D36,FALSE,['4 mq']
2021,99b3713c-f124-493d-a9d9-f52b71c04b79,A03,7,83 mq,"9.2035938, 45.496263",328000,Residenziale singolo,D36,FALSE,FALSE
2021,943f5c07-992c-4bf7-a8f7-2bba41ea2018,A03,9,63 mq,"9.2035938, 45.496263",250000,Residenziale singolo,D36,FALSE,FALSE
2021,d4145b69-b379-4903-97af-bbbd968438e7,A03,12,74 mq,"9.2035938, 45.496263",316000,Residenziale singolo,D36,FALSE,FALSE
2021,469648f2-b9d8-403e-8240-6e4fa367641b,A04,2,4.5 vani,"9.2074801, 45.4966261",190000,Residenziale singolo,D36,FALSE,FALSE
2021,cd36d28a-052c-4aab-ad50-96f6c60e9427,A07,3,8.5 vani,"9.21005994530391, 45.4993674339209",800000,Residenziale singolo,D36,['24 mq'],FALSE
2021,2e9cbc56-844c-410c-913b-5f82c637d0b3,A02,4,114 mq,"9.2074801, 45.4966261",211666,Residenziale singolo,D36,['12 mq'],['4 mq']
2021,5039bed2-bb04-4f54-8bc8-33c038266b97,A04,4,59 mq,"9.2080201, 45.4981409",180000,Residenziale singolo,D36,FALSE,FALSE
2021,970ecdaf-4bd4-4e9d-86e2-7fe38840c392,A04,5,69 mq,"9.20785177800129157504566017658802981378, 45.4980735852774328066499630998752914119",170000,Residenziale singolo,D36,FALSE,FALSE
2021,4e5dbee9-7625-4bbd-9e68-1dffaa708775,A02,5,161 mq,"9.2074801, 45.4966261",138390,Residenziale singolo,D36,FALSE,FALSE
2021,d67d943d-b8f8-44ee-b5ad-b172a5538617,A02,6,135 mq,"9.2074801, 45.4966261",603000,Residenziale singolo,D36,FALSE,FALSE
2021,9115a90f-ccfb-4b0a-9a23-56b51b0db650,A04,7,33 mq,"9.2074801, 45.4966261",115000,Residenziale singolo,D36,FALSE,FALSE
2021,be0071c9-5554-4589-b754-4c137faf7d40,A04,7,51 mq,"9.2074801, 45.4966261",168000,Residenziale singolo,D36,FALSE,['20 mq']
2021,1ce807d5-c4b0-41bb-9b25-f5c8c11f1d68,A02,8,138 mq,"9.20977378054839, 45.4993163335521",540000,Residenziale singolo,D36,FALSE,['7 mq']
2021,726a9544-109f-4694-914a-471ef4b6e181,A03,9,71 mq,"9.20785177800129157504566017658802981378, 45.4980735852774328066499630998752914119",290000,Residenziale singolo,D36,FALSE,FALSE
2021,e915fd01-2f68-46b0-bf00-f2812bf66d92,A03,10,36 mq,"9.2097459, 45.4993117",230000,Residenziale singolo,D36,FALSE,FALSE
2021,0b9575e4-540f-4c98-b249-cc579efac9c9,A03,10,102 mq,"9.2077894, 45.498132",480000,Residenziale singolo,D36,FALSE,['4 mq']
2021,4f4978f1-4549-4244-9119-c67b1ca36b7a,A04,11,47 mq,"9.2097459, 45.4993117",120000,Residenziale singolo,D36,FALSE,['6 mq']
2021,c3a54e13-fd6a-4cfd-83e0-b5b1b8c1c2e8,A02,11,83 mq,"9.20572416522239220927259593081867235269, 45.4969069545032501293229217818473534105",452650,Residenziale singolo,D36,['20 mq'],['6 mq']
2021,a55202d1-7d60-4e3d-b634-85324051ec78,A04,11,53 mq,"9.2074801, 45.4966261",140000,Residenziale singolo,D36,FALSE,['7 mq']
2021,cd581ff6-9384-4674-8abf-419976415331,A02,11,92 mq,"9.2074801, 45.4966261",590600,Residenziale singolo,D36,['15 mq'],['5 mq']
2021,d571b76b-632d-4558-a2fb-4f94ba95af85,A02,11,81 mq,"9.2074801, 45.4966261",480200,Residenziale singolo,D36,['23 mq'],['5 mq']
2021,3f2e4a84-bba7-42b5-88c1-ef2fb0d23df7,A02,11,71 mq,"9.2074801, 45.4966261",433800,Residenziale singolo,D36,['17 mq'],['5 mq']
2021,2289cea5-95fa-4bf4-a82e-e7430a99cf6c,A02,11,93 mq,"9.2100348, 45.4993583",536300,Residenziale singolo,D36,['24 mq'],['9 mq']
2021,6cc67c12-3426-43c9-a1d5-a45d8a0dc2dd,A02,11,64 mq,"9.2074801, 45.4966261",372380,Residenziale singolo,D36,['20 mq'],['5 mq']
2021,4438cdea-8610-4fa5-8b6c-68f477663449,A02,11,127 mq,"9.2074801, 45.4966261",490000,Residenziale singolo,D36,['13 mq'],FALSE
2021,b984c284-f4e0-462a-956b-c7daa8440ed6,A02,11,92 mq,"9.2097459, 45.4993117",611150,Residenziale singolo,D36,['37 mq'],['5 mq']
2021,0b6a9ec4-5356-4575-808e-9a927d33b222,A02,11,43 mq,"9.20572416522239220927259593081867235269, 45.4969069545032501293229217818473534105",235000,Residenziale singolo,D36,FALSE,['5 mq']
2021,ccbf6455-6022-49ce-9320-83b71e95c6c1,A02,12,126 mq,"9.2100348, 45.4993583",580000,Residenziale singolo,D36,FALSE,FALSE
2021,ef9f76c6-87af-425a-a08d-65290806b98d,A04,12,62 mq,"9.2074801, 45.4966261",170000,Residenziale singolo,D36,FALSE,FALSE
2021,3366223f-dca4-41cf-bf2c-29b4c3e17f84,A03,1,4.5 vani,"9.2049315, 45.495562",330000,Residenziale singolo,D36,FALSE,FALSE
2021,a044130b-4a97-45b9-96bc-0a9dce98d920,A02,1,3 vani,"9.20712243438438, 45.4958435171119",316150,Residenziale singolo,D36,['15 mq'],['10 mq']
2021,b1b273d6-9326-46d9-8565-19736b013c1a,A02,1,3 vani,"9.204555, 45.4953057",331200,Residenziale singolo,D36,['15 mq'],['10 mq']
2021,f1c1a58a-4828-4db9-878f-2e60b08aa182,A03,2,6.5 vani,"9.2035163091042699743354033394905931933, 45.4947493500673707492284603191393381457",320000,Residenziale singolo,D36,FALSE,"['3 mq', '3 mq']"
2021,ae6e57e8-599f-4769-9a8a-a66fca13c43a,A03,2,4 vani,"9.20615435958617985085486032720424098343, 45.4960732549922320012163151876890852457",290000,Residenziale singolo,D36,FALSE,FALSE
2021,b163dd44-6c5e-4f5f-8b08-c515e0c8c226,A03,3,5.5 vani,"9.20615435958617985085486032720424098343, 45.4960732549922320012163151876890852457",365000,Residenziale singolo,D36,FALSE,['3 mq']
